epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6935,1.33693,3.14107,1.71151,1.26172,0.90063,0.8282,0.89377,0.65871,0.83956,0.76737,0.78823,0.42226,0.93779,2.60838,0.75496,1.01884,0.0033268,0.0033268,0.0033268
2,129.007,1.05091,2.24283,0.89575,1.05055,0.85005,0.85418,0.92806,0.68364,0.81128,0.81152,0.8511,0.50432,1.01078,2.12722,0.7463,1.0477,0.00663376,0.00663376,0.00663376
3,192.795,1.08796,2.25365,0.89713,1.06825,0.90968,0.84239,0.92912,0.65758,0.87218,0.80725,0.85704,0.51384,1.05098,2.2199,0.80908,1.05982,0.00991432,0.00991432,0.00991432
4,257.645,1.13498,2.26483,0.94345,1.10602,0.88045,0.85439,0.91921,0.68037,0.85117,0.81616,0.84729,0.5252,0.96524,2.03954,0.78929,1.06067,0.0098812,0.0098812,0.0098812
5,322.784,1.11338,2.19367,0.90019,1.10084,0.87867,0.88983,0.94377,0.69509,0.85004,0.86101,0.89231,0.57135,0.95129,1.94383,0.74422,1.04952,0.0098416,0.0098416,0.0098416
6,395.186,1.08086,2.15486,0.85757,1.08598,0.91709,0.84075,0.92387,0.67797,0.88795,0.82123,0.86218,0.52721,0.96655,1.96762,0.7634,1.06842,0.009802,0.009802,0.009802
7,464.809,1.06268,2.13869,0.83467,1.08698,0.88009,0.87325,0.93418,0.69219,0.88208,0.80298,0.85994,0.53977,0.97871,2.02748,0.72327,1.06276,0.0097624,0.0097624,0.0097624
8,534.134,1.05016,2.10604,0.80638,1.07774,0.92159,0.83341,0.92758,0.69852,0.89582,0.81891,0.87438,0.55707,0.91441,1.91855,0.68572,1.06253,0.0097228,0.0097228,0.0097228
9,602.099,1.03785,2.09835,0.7828,1.06713,0.94712,0.87981,0.951,0.73395,0.918,0.84726,0.88115,0.57968,0.87237,1.91397,0.68611,1.00238,0.0096832,0.0096832,0.0096832
10,673.87,1.00824,2.04314,0.75888,1.05934,0.93676,0.86589,0.94787,0.73108,0.90873,0.83951,0.8917,0.5879,0.8659,1.84609,0.65193,1.0136,0.0096436,0.0096436,0.0096436
11,742.57,0.99704,2.00227,0.74222,1.05687,0.94098,0.87578,0.9472,0.72524,0.89667,0.83502,0.87034,0.54615,0.8758,1.8345,0.6534,1.02445,0.009604,0.009604,0.009604
12,810.839,0.99116,1.95015,0.73046,1.05312,0.94435,0.86878,0.95173,0.72902,0.86617,0.8821,0.89237,0.57935,0.86222,1.83086,0.62444,1.02127,0.0095644,0.0095644,0.0095644
13,879.23,0.97351,1.94736,0.71934,1.04269,0.93209,0.8976,0.95896,0.74722,0.90975,0.87514,0.91774,0.60416,0.84215,1.82647,0.61445,0.99646,0.0095248,0.0095248,0.0095248
14,948.088,0.97282,1.95632,0.71215,1.04402,0.92282,0.90274,0.95657,0.73484,0.89151,0.874,0.90013,0.59525,0.85035,1.80321,0.60863,0.99661,0.0094852,0.0094852,0.0094852
15,1017.5,0.96041,1.93149,0.69291,1.0379,0.9183,0.89207,0.95087,0.72842,0.8928,0.86862,0.90048,0.59068,0.87616,1.87383,0.65404,1.04191,0.0094456,0.0094456,0.0094456
16,1086.98,0.95625,1.94621,0.68045,1.04107,0.9458,0.88487,0.95505,0.74882,0.91031,0.86449,0.89718,0.60544,0.81668,1.74353,0.58681,0.99464,0.009406,0.009406,0.009406
17,1154.93,0.93902,1.85828,0.67634,1.03423,0.9342,0.89101,0.95807,0.75868,0.90473,0.86279,0.90561,0.59302,0.81857,1.7999,0.59632,0.99648,0.0093664,0.0093664,0.0093664
18,1222.62,0.93315,1.81596,0.65516,1.02872,0.95362,0.89478,0.96418,0.76884,0.92864,0.87012,0.91506,0.61313,0.79063,1.73371,0.54161,0.98603,0.0093268,0.0093268,0.0093268
19,1290.61,0.92857,1.88396,0.66053,1.02741,0.94682,0.90828,0.96589,0.77067,0.92447,0.87541,0.92004,0.63486,0.80303,1.6939,0.54998,0.98142,0.0092872,0.0092872,0.0092872
